dataset,mix_id,mix_code,scm_primary_type,cement_kg_m3,binder_content_kg_m3,scm_replacement_pct,w_c_ratio,w_b_ratio,water_kg_m3,compressive_strength_28d_mpa,total_coarse_agg_kg_m3,total_fine_agg_kg_m3,total_agg_kg_m3,fine_to_coarse_ratio,binder_to_aggregate_ratio
DS1,26.0,DS1-21,GGBS,427.50,475.00,10.0,0.53,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,27.0,DS1-22,GGBS,139.60,349.00,60.0,1.38,0.55,192.00,28.24,1047.00,806.90,1853.90,0.7706781279847182,0.1882517935163709
DS1,28.0,DS1-23,GGBS,139.60,349.00,60.0,1.38,0.55,192.00,,1047.00,806.90,1853.90,0.7706781279847182,0.1882517935163709
DS1,29.0,DS1-24,GGBS,139.60,349.00,60.0,1.38,0.55,192.00,,1047.00,806.90,1853.90,0.7706781279847182,0.1882517935163709
DS1,30.0,DS1-25,GGBS,380.00,380.00,0.0,0.60,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,31.0,DS1-26,GGBS,380.00,380.00,0.0,0.60,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,32.0,DS1-27,GGBS,380.00,475.00,20.0,0.60,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,33.0,DS1-28,GGBS,342.00,380.00,10.0,0.67,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,34.0,DS1-29,GGBS,427.50,475.00,10.0,0.53,0.48,228.00,37.43,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,35.0,DS1-30,GGBS,475.00,475.00,0.0,0.48,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,36.0,DS1-31,GGBS,304.00,380.00,20.0,0.75,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,37.0,DS1-32,GGBS,266.00,380.00,30.0,0.86,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,38.0,DS1-33,GGBS,198.60,331.00,40.0,0.97,0.58,192.00,,978.40,825.50,1803.90,0.8437244480784954,0.18349132435279117
DS1,39.0,DS1-34,GGBS,475.00,475.00,0.0,0.48,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,40.0,DS1-35,GGBS,190.00,380.00,50.0,1.20,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,41.0,DS1-36,GGBS,237.50,475.00,50.0,0.96,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,42.0,DS1-37,GGBS,237.50,475.00,50.0,0.96,0.48,228.00,30.08,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,43.0,DS1-38,GGBS,332.50,475.00,30.0,0.69,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS2,7445.0,DS2-69,None,460,460,0.0,0.36,,165.60,60.8,0,0,0,,
DS2,7446.0,DS2-70,None,460,460,0.0,0.36,,165.60,61.2,0,0,0,,
DS2,7415.0,DS2-39,None,487,487,0.0,0.34,,165.58,61.9,0,0,0,,
DS2,7416.0,DS2-40,None,485,485,0.0,0.34,,164.90,80.8,0,0,0,,
DS2,7417.0,DS2-41,None,485,485,0.0,0.34,,164.90,78.2,0,0,0,,
DS2,7418.0,DS2-42,None,485,485,0.0,0.34,,164.90,71.2,0,0,0,,
DS2,7419.0,DS2-43,None,485,485,0.0,0.34,,164.90,65.4,0,0,0,,
DS2,7420.0,DS2-44,None,431,431,0.0,0.35,,150.85,37.5,0,0,0,,
DS2,7421.0,DS2-45,None,427,427,0.0,0.35,,149.45,36.4,0,0,0,,
DS2,7422.0,DS2-46,None,400,400,0.0,0.35,,140.00,49,0,0,0,,
DS2,7423.0,DS2-47,None,400,400,0.0,0.35,,140.00,56,0,0,0,,
DS2,7424.0,DS2-48,None,400,400,0.0,0.35,,140.00,54,0,0,0,,
DS2,7425.0,DS2-49,None,400,400,0.0,0.35,,140.00,33.6,0,0,0,,
DS2,7447.0,DS2-71,None,460,460,0.0,0.36,,165.60,60.2,0,0,0,,
DS2,7448.0,DS2-72,None,500,500,0.0,0.36,,180.00,48.4,0,0,0,,
DS2,7449.0,DS2-73,None,500,500,0.0,0.36,,180.00,48.9,0,0,0,,
DS2,7450.0,DS2-74,None,500,500,0.0,0.36,,180.00,48.9,0,0,0,,
DS2,7451.0,DS2-75,None,500,500,0.0,0.36,,180.00,48.9,0,0,0,,
DS2,7452.0,DS2-76,None,500,500,0.0,0.36,,180.00,48.9,0,0,0,,
DS2,7453.0,DS2-77,None,500,500,0.0,0.36,,180.00,52.3,0,0,0,,
DS2,7454.0,DS2-78,None,500,500,0.0,0.36,,180.00,44.5,0,0,0,,
DS2,7465.0,DS2-89,None,500,500,0.0,0.36,,180.00,48.2,0,0,0,,
DS3,4358.0,DS3-28,GGBS,156,368,57.608695652173914,,,195,,1200,710,1910,0.5916666666666667,0.19267015706806281
DS3,4359.0,DS3-29,Fly Ash,390,390,0.0,,,207,,1174,710,1884,0.6047700170357752,0.2070063694267516
DS3,4360.0,DS3-30,GGBS,312,383,18.5378590078329,,,207,,1174,710,1884,0.6047700170357752,0.20329087048832273
DS2,7466.0,DS2-90,None,500,500,0.0,0.36,,180.00,57.9,0,0,0,,
DS2,7467.0,DS2-91,None,500,500,0.0,0.36,,180.00,58.3,0,0,0,,
DS2,7468.0,DS2-92,None,500,500,0.0,0.36,,180.00,61.8,0,0,0,,
DS2,7469.0,DS2-93,None,500,500,0.0,0.36,,180.00,56.4,0,0,0,,
DS3,4361.0,DS3-31,GGBS,234,376,37.765957446808514,,,207,,1174,710,1884,0.6047700170357752,0.19957537154989385
DS2,7470.0,DS2-94,None,500,500,0.0,0.36,,180.00,60.2,0,0,0,,
DS2,7471.0,DS2-95,None,500,500,0.0,0.36,,180.00,57.5,0,0,0,,
DS2,7472.0,DS2-96,None,423,423,0.0,0.36,,152.28,35.7,0,0,0,,
DS2,7473.0,DS2-97,None,380,380,0.0,0.36,,136.80,47.3,0,0,0,,
DS2,7474.0,DS2-98,None,400,400,0.0,0.38,,152.00,34.5,0,0,0,,
DS2,7475.0,DS2-99,None,474,474,0.0,0.38,,180.12,47.9,0,0,0,,
DS2,7476.0,DS2-100,None,474,474,0.0,0.38,,180.12,49.4,0,0,0,,
DS3,4362.0,DS3-32,GGBS,156,368,57.608695652173914,,,207,,1174,710,1884,0.6047700170357752,0.19532908704883228
DS3,4363.0,DS3-33,Fly Ash,390,390,0.0,,,213,,1148,710,1858,0.6184668989547039,0.20990312163616792
DS3,4364.0,DS3-34,GGBS,312,383,18.5378590078329,,,213,,1148,710,1858,0.6184668989547039,0.20613562970936491
DS3,4365.0,DS3-35,GGBS,234,376,37.765957446808514,,,213,,1148,710,1858,0.6184668989547039,0.2023681377825619
DS3,4366.0,DS3-36,GGBS,156,368,57.608695652173914,,,213,,1148,710,1858,0.6184668989547039,0.19806243272335844
DS3,4367.0,DS3-37,Fly Ash,390,390,0.0,,,225,,1096,710,1806,0.6478102189781022,0.2159468438538206
DS3,4368.0,DS3-38,GGBS,312,383,18.5378590078329,,,225,,1096,710,1806,0.6478102189781022,0.21207087486157253
DS3,4369.0,DS3-39,GGBS,234,376,37.765957446808514,,,225,,1096,710,1806,0.6478102189781022,0.2081949058693245
DS3,4370.0,DS3-40,GGBS,156,368,57.608695652173914,,,225,,1096,710,1806,0.6478102189781022,0.20376522702104097
DS3,4371.0,DS3-41,Fly Ash,390,390,0.0,,,195,34.29,1200,710,1910,0.5916666666666667,0.20418848167539266
DS3,4372.0,DS3-42,GGBS,312,383,18.5378590078329,,,195,31.82,1200,710,1910,0.5916666666666667,0.20052356020942408
DS3,4373.0,DS3-43,GGBS,234,376,37.765957446808514,,,195,30.46,1200,710,1910,0.5916666666666667,0.1968586387434555
DS3,4374.0,DS3-44,GGBS,156,368,57.608695652173914,,,195,26.32,1200,710,1910,0.5916666666666667,0.19267015706806281
DS3,4375.0,DS3-45,Fly Ash,390,390,0.0,,,207,33.09,1174,710,1884,0.6047700170357752,0.2070063694267516
DS2,7477.0,DS2-101,None,520,520,0.0,0.38,,197.60,54.1,0,0,0,,
DS2,7478.0,DS2-102,None,520,520,0.0,0.38,,197.60,38.3,0,0,0,,
DS2,7479.0,DS2-103,None,520,520,0.0,0.38,,197.60,32.9,0,0,0,,
DS4,8115.0,DS4-5,Fly Ash,327.5,518.0,36.77606177606177,,0.40,206.2,47.4,783.1,783.1,1566.2,1.0,0.33073681522155535
DS4,8116.0,DS4-6,Fly Ash,327.5,518.0,36.77606177606177,,0.36,187.5,53.5,812.4,812.4,1624.8,1.0,0.3188084687346135
DS2,7480.0,DS2-104,None,520,520,0.0,0.38,,197.60,33.2,0,0,0,,
DS4,8117.0,DS4-7,Fly Ash,357.5,550.0,35.0,,0.38,209,48.2,768.3,768.3,1536.6,1.0,0.3579330990498503
DS2,7481.0,DS2-105,None,500,500,0.0,0.38,,190.00,49.4,0,0,0,,
DS2,7482.0,DS2-106,None,486,486,0.0,0.38,,184.68,39.2,0,0,0,,
DS1,44.0,DS1-39,GGBS,475.00,475.00,0.0,0.48,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,45.0,DS1-40,GGBS,237.50,475.00,50.0,0.96,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,46.0,DS1-41,GGBS,342.00,380.00,10.0,0.67,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,47.0,DS1-42,GGBS,427.50,475.00,10.0,0.53,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,48.0,DS1-43,GGBS,237.50,475.00,50.0,0.96,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,49.0,DS1-44,GGBS,380.00,380.00,0.0,0.60,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,50.0,DS1-45,GGBS,427.50,475.00,10.0,0.53,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,51.0,DS1-46,GGBS,427.50,475.00,10.0,0.53,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,52.0,DS1-47,GGBS,349.00,349.00,0.0,0.55,0.55,192.00,,1047.00,806.90,1853.90,0.7706781279847182,0.1882517935163709
DS1,53.0,DS1-48,GGBS,380.00,475.00,20.0,0.60,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,54.0,DS1-49,GGBS,237.50,475.00,50.0,0.96,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,55.0,DS1-50,GGBS,380.00,475.00,20.0,0.60,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,56.0,DS1-51,GGBS,332.50,475.00,30.0,0.69,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,57.0,DS1-52,GGBS,190.00,380.00,50.0,1.20,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,58.0,DS1-53,GGBS,237.50,475.00,50.0,0.96,0.48,228.00,,932.00,594.00,1526.00,0.6373390557939914,0.3112712975098296
DS1,59.0,DS1-54,GGBS,304.00,380.00,20.0,0.75,0.60,228.00,,932.00,670.00,1602.00,0.7188841201716738,0.23720349563046192
DS1,60.0,DS1-55,GGBS,139.60,349.00,60.0,1.38,0.55,192.00,,1047.00,806.90,1853.90,0.7706781279847182,0.1882517935163709
DS1,61.0,DS1-56,GGBS,198.60,331.00,40.0,0.97,0.58,192.00,,978.40,825.50,1803.90,0.8437244480784954,0.18349132435279117
DS2,7483.0,DS2-107,None,380,380,0.0,0.39,,148.20,47.4,0,0,0,,
DS2,7484.0,DS2-108,None,293,293,0.0,0.39,,114.27,38.1,0,0,0,,
DS2,7455.0,DS2-79,None,500,500,0.0,0.36,,180.00,38.7,0,0,0,,
DS2,7456.0,DS2-80,None,500,500,0.0,0.36,,180.00,46.1,0,0,0,,
DS2,7457.0,DS2-81,None,500,500,0.0,0.36,,180.00,42.4,0,0,0,,
DS2,7458.0,DS2-82,None,500,500,0.0,0.36,,180.00,52.5,0,0,0,,
DS2,7459.0,DS2-83,None,500,500,0.0,0.36,,180.00,50.7,0,0,0,,
DS2,7460.0,DS2-84,None,500,500,0.0,0.36,,180.00,45.2,0,0,0,,
DS2,7461.0,DS2-85,None,500,500,0.0,0.36,,180.00,42,0,0,0,,
DS2,7462.0,DS2-86,None,500,500,0.0,0.36,,180.00,49.6,0,0,0,,
DS2,7463.0,DS2-87,None,500,500,0.0,0.36,,180.00,45.1,0,0,0,,
DS2,7464.0,DS2-88,None,500,500,0.0,0.36,,180.00,54.4,0,0,0,,
DS2,7485.0,DS2-109,None,460,460,0.0,0.4,,184.0,33.7,0,0,0,,
DS2,7486.0,DS2-110,None,460,460,0.0,0.4,,184.0,29.5,0,0,0,,
DS2,7487.0,DS2-111,None,400,400,0.0,0.4,,160.0,72.3,0,0,0,,
DS2,7488.0,DS2-112,None,400,400,0.0,0.4,,160.0,69.6,0,0,0,,
DS2,7489.0,DS2-113,None,400,400,0.0,0.4,,160.0,65.3,0,0,0,,
DS2,7490.0,DS2-114,None,400,400,0.0,0.4,,160.0,58.5,0,0,0,,
DS2,7491.0,DS2-115,None,350,350,0.0,0.4,,140.0,43.3,0,0,0,,
DS2,7492.0,DS2-116,None,350,350,0.0,0.4,,140.0,46.1,0,0,0,,
DS2,7493.0,DS2-117,None,350,350,0.0,0.4,,140.0,78.7,0,0,0,,
DS2,7503.0,DS2-127,None,400,400,0.0,0.4,,160.0,53.82,0,0,0,,
DS2,7504.0,DS2-128,None,400,400,0.0,0.4,,160.0,53.73,0,0,0,,
DS2,7505.0,DS2-129,None,400,400,0.0,0.4,,160.0,41.9,0,0,0,,
DS2,7506.0,DS2-130,None,300,300,0.0,0.4,,120.0,34.8,0,0,0,,
DS2,7507.0,DS2-131,None,350,350,0.0,0.4,,140.0,41.2,0,0,0,,
DS3,4376.0,DS3-46,GGBS,312,383,18.5378590078329,,,207,30.86,1174,710,1884,0.6047700170357752,0.20329087048832273
DS2,7508.0,DS2-132,None,450,450,0.0,0.4,,180.0,52.8,0,0,0,,
DS3,4377.0,DS3-47,GGBS,234,376,37.765957446808514,,,207,29.26,1174,710,1884,0.6047700170357752,0.19957537154989385
DS3,4378.0,DS3-48,GGBS,156,368,57.608695652173914,,,207,25.84,1174,710,1884,0.6047700170357752,0.19532908704883228
DS2,7509.0,DS2-133,None,350,350,0.0,0.4,,140.0,33.2,0,0,0,,
DS2,7510.0,DS2-134,None,350,350,0.0,0.4,,140.0,39.4,0,0,0,,
DS2,7511.0,DS2-135,None,450,450,0.0,0.4,,180.0,50.4,0,0,0,,
DS2,7512.0,DS2-136,None,300,300,0.0,0.4,,120.0,32.1,0,0,0,,
DS3,4379.0,DS3-49,Fly Ash,390,390,0.0,,,213,30.46,1148,710,1858,0.6184668989547039,0.20990312163616792
