mix_number,mix_mark,cement (kg/m3),eff_water (kg/m3)  ,NCA (kg/m3),RCA (kg/m3),"NFA,sand (kg/m3)",fly ash (kg/m3),silica fume (kg/m3),BFS (kg/m3) ,SP (kg/m3),Testing Age (day),CS fck (mpa),ref.,year,country
70,,312,225,0,1096,710,0,0,71,0,90,32.77,Majhi et al,2018,India
71,,234,225,0,1096,710,0,0,142,0,90,31.9,Majhi et al. ,2018,India
72,,156,225,0,1096,710,0,0,212,0,90,31.1,Majhi et al. ,2018,India
73,,436,244,1143,0,616,0,0,0,0,28,22.73,Zeng et al.,2018,China
74,,436,244,857.25,285.75,616,0,0,0,0,28,22.27,Zeng et al.,2018,China
75,,436,244,571.5,571.5,616,0,0,0,0,28,21.82,Zeng et al.,2018,China
76,,436,244,285.75,857.25,616,0,0,0,0,28,21.64,Zeng et al.,2018,China
77,,436,244,0,1143,616,0,0,0,0,28,21.09,Zeng et al.,2018,China
78,,528,185,1259,0,478,0,0,0,0.13,28,52.04,Zeng et al.,2018,China
79,,528,185,944.25,314.75,478,0,0,0,0.13,28,45.45,Zeng et al.,2018,China
80,,528,185,629.5,629.5,478,0,0,0,0.13,28,43.64,Zeng et al.,2018,China
81,,528,185,314.75,944.25,478,0,0,0,0.13,28,42.73,Zeng et al.,2018,China
82,,528,185,0,1259,478,0,0,0,0.13,28,41.82,Zeng et al.,2018,China
83,,436,244,1143,0,616,0,0,0,0,56,29.55,Zeng et al.,2018,China
84,,436,244,857.25,285.75,616,0,0,0,0,56,28.18,Zeng et al.,2018,China
85,,436,244,571.5,571.5,616,0,0,0,0,56,27.27,Zeng et al.,2018,China
86,,436,244,285.75,857.25,616,0,0,0,0,56,25.91,Zeng et al.,2018,China
87,,436,244,0,1143,616,0,0,0,0,56,25.45,Zeng et al.,2018,China
88,,528,185,1259,0,478,0,0,0,0.13,56,55.61,Zeng et al.,2018,China
89,,528,185,944.25,314.75,478,0,0,0,0.13,56,54.29,Zeng et al.,2018,China
90,,528,185,629.5,629.5,478,0,0,0,0.13,56,45.27,Zeng et al.,2018,China
91,,528,185,314.75,944.25,478,0,0,0,0.13,56,44.09,Zeng et al.,2018,China
92,,528,185,0,1259,478,0,0,0,0.13,56,43.64,Zeng et al.,2018,China
93,RAC-0.0,435.7,204.8,1115.2,0,564.3,0,0,0,0,28,48.25,Hou and Zeng,2018,China
94,RAC-0.3,435.7,204.8,780.6,334.6,564.3,0,0,0,0,28,52.92,Hou and Zeng,2018,China
95,RAC-0.7,435.7,204.8,334.6,780.6,564.3,0,0,0,0,28,56.04,Hou and Zeng,2018,China
96,RAC-1.0,435.7,204.8,0,1115.2,564.3,0,0,0,0,28,52.19,Hou and Zeng,2018,China
97,,267.2,170,609.7,381.7,842.5,0,0,0,2.7,28,25.4,Amario et al.,2017,Brazil
98,,266.4,170,803,195.6,844.4,0,0,0,2.7,28,25.2,Amario et al.,2017,Brazil
99,,277.8,176.3,395.4,577.8,831.5,0,0,0,2.8,28,23.5,Amario et al.,2017,Brazil
100,,385.2,165,496.8,318.3,917.3,0,0,0,3.9,28,46,Amario et al.,2017,Brazil
101,,391.5,165,570.8,159.9,913.9,0,0,0,3.9,28,45.8,Amario et al.,2017,Brazil
102,,397.3,167.5,325.9,476.2,907.4,0,0,0,5.2,28,46.9,Amario et al.,2017,Brazil
103,,537.3,175,610.6,56.4,913.9,0,0,0,5.4,28,68.1,Amario et al.,2017,Brazil
104,,547.2,177,530.5,129.2,906.5,0,0,0,5.5,28,63.9,Amario et al.,2017,Brazil
105,,548.9,175,397.7,258.3,906.1,0,0,0,5.5,28,62.5,Amario et al.,2017,Brazil
106,,570.2,179.6,260.6,380.8,890.4,0,0,0,5.7,28,62.4,Amario et al.,2017,Brazil
107,,553.5,110.7,0,1058.3,734.2,0,0,0,2.8,28,53.75,Li et al. ,2017,China
108,,524.5,157.35,0,1002.8,695.7,0,0,0,2.6,28,41.65,Li et al. ,2017,China
109,,498.3,199.32,0,952.8,661,0,0,0,2.5,28,29.79,Li et al. ,2017,China
110,,474.7,237.35,0,907.5,629.7,0,0,0,2.4,28,25.36,Li et al. ,2017,China
111,,553.5,110.7,0,1048.4,734.2,0,0,0,2.8,28,64.69,Li et al. ,2017,China
112,,524.5,157.35,0,993.4,695.7,0,0,0,2.6,28,47.84,Li et al. ,2017,China
113,,498.3,199.32,0,943.9,661,0,0,0,2.5,28,34.64,Li et al. ,2017,China
114,,474.7,237.35,0,899.1,629.7,0,0,0,2.4,28,28.14,Li et al. ,2017,China
115,,553.5,110.7,0,1317.1,551.2,0,0,0,2.8,28,60.31,Li et al. ,2017,China
116,,524.5,157.35,0,1248,522.3,0,0,0,2.6,28,42.16,Li et al. ,2017,China
117,,498.3,199.32,0,1185.8,496.3,0,0,0,2.5,28,32.78,Li et al. ,2017,China
118,,474.7,237.35,0,1129.5,472.7,0,0,0,2.4,28,21.03,Li et al. ,2017,China
119,,380,209,1065,0,710,0,0,0,0,7,29.4,Ozbakkaloglu et al. ,2017,Australia
120,,380,201,799,204,710,0,0,0,0,7,29.9,Ozbakkaloglu et al. ,2017,Australia
121,,380,194,533,408,710,0,0,0,0,7,29,Ozbakkaloglu et al. ,2017,Australia
122,,380,179,0,816,710,0,0,0,0,7,29.3,Ozbakkaloglu et al. ,2017,Australia
123,,380,179,0,816,710,0,0,0,0,7,26.7,Ozbakkaloglu et al. ,2017,Australia
124,,380,201,1012,0,710,0,0,0,0,7,28.8,Ozbakkaloglu et al. ,2017,Australia
125,,380,186,506,394,710,0,0,0,0,7,29.8,Ozbakkaloglu et al. ,2017,Australia
126,,380,171,0,787,710,0,0,0,0,7,30.2,Ozbakkaloglu et al. ,2017,Australia
127,,380,171,0,787,710,0,0,0,0,7,28.3,Ozbakkaloglu et al. ,2017,Australia
128,,506,167,1065,0,710,0,44,0,7,7,69,Ozbakkaloglu et al. ,2017,Australia
129,,506,159,799,204,710,0,44,0,7,7,68.6,Ozbakkaloglu et al. ,2017,Australia
130,,506,152,533,408,710,0,44,0,7,7,68.7,Ozbakkaloglu et al. ,2017,Australia
131,,506,137,0,816,710,0,44,0,10,7,67.9,Ozbakkaloglu et al. ,2017,Australia
132,,506,137,0,816,710,0,44,0,10,7,68.5,Ozbakkaloglu et al. ,2017,Australia
133,,380,209,1065,0,710,0,0,0,0,28,40.9,Ozbakkaloglu et al. ,2017,Australia
134,,380,201,799,204,710,0,0,0,0,28,41,Ozbakkaloglu et al. ,2017,Australia
135,,380,194,533,408,710,0,0,0,0,28,40.5,Ozbakkaloglu et al. ,2017,Australia
136,,380,179,0,816,710,0,0,0,0,28,40.3,Ozbakkaloglu et al. ,2017,Australia
137,,380,179,0,816,710,0,0,0,0,28,38,Ozbakkaloglu et al. ,2017,Australia
138,,380,201,1012,0,710,0,0,0,0,28,40.1,Ozbakkaloglu et al. ,2017,Australia
139,,380,186,506,394,710,0,0,0,0,28,41.2,Ozbakkaloglu et al. ,2017,Australia
140,,380,171,0,787,710,0,0,0,0,28,40.8,Ozbakkaloglu et al. ,2017,Australia
141,,380,171,0,787,710,0,0,0,0,28,39.2,Ozbakkaloglu et al. ,2017,Australia
142,,506,167,1065,0,710,0,44,0,7,28,82.6,Ozbakkaloglu et al. ,2017,Australia
143,,506,159,799,204,710,0,44,0,7,28,83.5,Ozbakkaloglu et al. ,2017,Australia
144,,506,152,533,408,710,0,44,0,7,28,84.1,Ozbakkaloglu et al. ,2017,Australia
145,,506,137,0,816,710,0,44,0,10,28,82.4,Ozbakkaloglu et al. ,2017,Australia
146,,506,137,0,816,710,0,44,0,10,28,79.3,Ozbakkaloglu et al. ,2017,Australia
147,,398,195.02,1193,0,614,0,0,0,0,28,37.92,Zhou and Chen ,2017,China
148,,398,195.02,1074,119,614,0,0,0,0,28,34.09,Zhou and Chen ,2017,China
149,,398,195.02,954,239,614,0,0,0,0,28,39.53,Zhou and Chen ,2017,China
150,,398,195.02,835,358,614,0,0,0,0,28,38.21,Zhou and Chen ,2017,China
151,,398,195.02,716,477,614,0,0,0,0,28,40.01,Zhou and Chen ,2017,China
152,,398,195.02,597,597,614,0,0,0,0,28,38.55,Zhou and Chen ,2017,China
153,,398,195.02,477,716,614,0,0,0,0,28,38.48,Zhou and Chen ,2017,China
154,,398,195.02,358,835,614,0,0,0,0,28,39.95,Zhou and Chen ,2017,China
155,,398,195.02,239,954,614,0,0,0,0,28,51.53,Zhou and Chen ,2017,China
156,,398,195.02,119,1074,614,0,0,0,0,28,39.75,Zhou and Chen ,2017,China
157,,398,195.02,0,1193,614,0,0,0,0,28,40.24,Zhou and Chen ,2017,China
158,,404,208.4,1228,0,614,0,0,0,0,28,33.65,Zhou and Chen ,2017,China
159,,404,208.4,1105,123,614,0,0,0,0,28,26.96,Zhou and Chen ,2017,China
160,,404,208.4,982,245,614,0,0,0,0,28,35.95,Zhou and Chen ,2017,China
161,,404,208.4,860,368,614,0,0,0,0,28,34.85,Zhou and Chen ,2017,China
162,,404,208.4,737,491,614,0,0,0,0,28,30.75,Zhou and Chen ,2017,China
163,,404,208.4,614,614,614,0,0,0,0,28,38.36,Zhou and Chen ,2017,China
164,,404,208.4,491,737,614,0,0,0,0,28,38.48,Zhou and Chen ,2017,China
165,,404,208.4,368,860,614,0,0,0,0,28,37,Zhou and Chen ,2017,China
166,,404,208.4,245,982,614,0,0,0,0,28,40.28,Zhou and Chen ,2017,China
167,,404,208.4,123,1105,614,0,0,0,0,28,38.47,Zhou and Chen ,2017,China
168,,404,208.4,0,1228,614,0,0,0,0,28,39.61,Zhou and Chen ,2017,China
169,,380,209,1020,0,750,0,0,0,0.8,1,13.64,Alnahhal et al,2017,Malaysia
170,,380,209,0,943,750,0,0,0,0.8,1,11.02,Alnahhal et al,2017,Malaysia
171,,342,209,0,943,750,0,0,0,0.8,1,11.86,Alnahhal et al,2017,Malaysia
172,,304,209,0,943,750,0,0,0,0.8,1,10.76,Alnahhal et al,2017,Malaysia
173,,266,209,0,943,750,0,0,0,0.8,1,9.58,Alnahhal et al,2017,Malaysia
174,,380,209,1020,0,750,0,0,0,0.8,7,23.22,Alnahhal et al,2017,Malaysia
175,,380,209,0,943,750,0,0,0,0.8,7,18.64,Alnahhal et al,2017,Malaysia
176,,342,209,0,943,750,0,0,0,0.8,7,22.03,Alnahhal et al,2017,Malaysia
177,,304,209,0,943,750,0,0,0,0.8,7,20.68,Alnahhal et al,2017,Malaysia
178,,266,209,0,943,750,0,0,0,0.8,7,16.53,Alnahhal et al,2017,Malaysia
179,,380,209,1020,0,750,0,0,0,0.8,14,24.75,Alnahhal et al,2017,Malaysia
180,,380,209,0,943,750,0,0,0,0.8,14,20.76,Alnahhal et al,2017,Malaysia
181,,342,209,0,943,750,0,0,0,0.8,14,26.1,Alnahhal et al,2017,Malaysia
182,,304,209,0,943,750,0,0,0,0.8,14,26.1,Alnahhal et al,2017,Malaysia
183,,266,209,0,943,750,0,0,0,0.8,14,17.8,Alnahhal et al,2017,Malaysia
184,,380,209,1020,0,750,0,0,0,0.8,28,31.36,Alnahhal et al,2017,Malaysia
185,,380,209,0,943,750,0,0,0,0.8,28,24.41,Alnahhal et al,2017,Malaysia
186,,342,209,0,943,750,0,0,0,0.8,28,29.07,Alnahhal et al,2017,Malaysia
187,,304,209,0,943,750,0,0,0,0.8,28,28.22,Alnahhal et al,2017,Malaysia
188,,266,209,0,943,750,0,0,0,0.8,28,25.25,Alnahhal et al,2017,Malaysia
189,,380,209,1020,0,750,0,0,0,0.8,56,32.2,Alnahhal et al,2017,Malaysia
190,,380,209,0,943,750,0,0,0,0.8,56,25.68,Alnahhal et al,2017,Malaysia
191,,342,209,0,943,750,0,0,0,0.8,56,29.24,Alnahhal et al,2017,Malaysia
192,,304,209,0,943,750,0,0,0,0.8,56,29.24,Alnahhal et al,2017,Malaysia
193,,266,209,0,943,750,0,0,0,0.8,56,24.49,Alnahhal et al,2017,Malaysia
194,,380,209,1020,0,750,0,0,0,0.8,90,33.73,Alnahhal et al,2017,Malaysia
195,,380,209,0,943,750,0,0,0,0.8,90,26.61,Alnahhal et al,2017,Malaysia
196,,342,209,0,943,750,0,0,0,0.8,90,29.41,Alnahhal et al,2017,Malaysia
197,,304,209,0,943,750,0,0,0,0.8,90,28.47,Alnahhal et al,2017,Malaysia
198,,266,209,0,943,750,0,0,0,0.8,90,26.61,Alnahhal et al,2017,Malaysia
199,,375,142.5,865,0,880,0,0,0,5.92,7,31.18,Khodair and Bommareddy,2017,United States
200,,187.5,142.5,865,0,880,187.5,0,0,6.32,7,24.12,Khodair and Bommareddy,2017,United States
201,,187.5,142.5,865,0,880,0,0,187.5,7.96,7,30.29,Khodair and Bommareddy,2017,United States
202,,187.5,142.5,865,0,880,93.75,0,93.75,7.56,7,26.47,Khodair and Bommareddy,2017,United States
203,,375,142.5,649,216,880,0,0,0,6.71,7,24.65,Khodair and Bommareddy,2017,United States
204,,187.5,142.5,649,216,880,187.5,0,0,5.92,7,14.19,Khodair and Bommareddy,2017,United States
205,,187.5,142.5,649,216,880,0,0,187.5,7.17,7,22.33,Khodair and Bommareddy,2017,United States
206,,187.5,142.5,649,216,880,93.75,0,93.75,7.9,7,18.84,Khodair and Bommareddy,2017,United States
207,,375,142.5,432.5,432.5,880,0,0,0,6.77,7,22.37,Khodair and Bommareddy,2017,United States
208,,187.5,142.5,432.5,432.5,880,187.5,0,0,7.96,7,10.64,Khodair and Bommareddy,2017,United States
209,,187.5,142.5,432.5,432.5,880,0,0,187.5,7.16,7,19.38,Khodair and Bommareddy,2017,United States
210,,187.5,142.5,432.5,432.5,880,93.75,0,93.75,8.9,7,15.5,Khodair and Bommareddy,2017,United States
211,,375,142.5,216.25,648.75,880,0,0,0,7.2,7,20.6,Khodair and Bommareddy,2017,United States
212,,187.5,142.5,216.25,648.75,880,187.5,0,0,8.7,7,13.4,Khodair and Bommareddy,2017,United States
213,,187.5,142.5,216.25,648.75,880,0,0,187.5,8.45,7,18.65,Khodair and Bommareddy,2017,United States
214,,187.5,142.5,216.25,648.75,880,93.75,0,93.75,9.21,7,14.92,Khodair and Bommareddy,2017,United States
215,,375,142.5,0,865,880,0,0,0,8.47,7,12.41,Khodair and Bommareddy,2017,United States
216,,187.5,142.5,0,865,880,187.5,0,0,9.23,7,7.39,Khodair and Bommareddy,2017,United States
217,,187.5,142.5,0,865,880,0,0,187.5,8.84,7,9.83,Khodair and Bommareddy,2017,United States
218,,187.5,142.5,0,865,880,93.75,0,93.75,11.42,7,8.18,Khodair and Bommareddy,2017,United States
219,,375,142.5,865,0,880,0,0,0,5.92,14,47.65,Khodair and Bommareddy,2017,United States
220,,187.5,142.5,865,0,880,187.5,0,0,6.32,14,37.35,Khodair and Bommareddy,2017,United States
221,,187.5,142.5,865,0,880,0,0,187.5,7.96,14,45,Khodair and Bommareddy,2017,United States
222,,187.5,142.5,865,0,880,93.75,0,93.75,7.56,14,40,Khodair and Bommareddy,2017,United States
223,,375,142.5,649,216,880,0,0,0,6.71,14,34.65,Khodair and Bommareddy,2017,United States
224,,187.5,142.5,649,216,880,187.5,0,0,5.92,14,26.28,Khodair and Bommareddy,2017,United States
225,,187.5,142.5,649,216,880,0,0,187.5,7.17,14,31.39,Khodair and Bommareddy,2017,United States
226,,187.5,142.5,649,216,880,93.75,0,93.75,7.9,14,28.37,Khodair and Bommareddy,2017,United States
227,,375,142.5,432.5,432.5,880,0,0,0,6.77,14,30.22,Khodair and Bommareddy,2017,United States
228,,187.5,142.5,432.5,432.5,880,187.5,0,0,7.96,14,21.11,Khodair and Bommareddy,2017,United States
229,,187.5,142.5,432.5,432.5,880,0,0,187.5,7.16,14,26.99,Khodair and Bommareddy,2017,United States
230,,187.5,142.5,432.5,432.5,880,93.75,0,93.75,8.9,14,24.3,Khodair and Bommareddy,2017,United States
231,,375,142.5,216.25,648.75,880,0,0,0,7.2,14,31.62,Khodair and Bommareddy,2017,United States
232,,187.5,142.5,216.25,648.75,880,187.5,0,0,8.7,14,20.54,Khodair and Bommareddy,2017,United States
233,,187.5,142.5,216.25,648.75,880,0,0,187.5,8.45,14,23.95,Khodair and Bommareddy,2017,United States
234,,187.5,142.5,216.25,648.75,880,93.75,0,93.75,9.21,14,21.44,Khodair and Bommareddy,2017,United States
235,,375,142.5,0,865,880,0,0,0,8.47,14,20.4,Khodair and Bommareddy,2017,United States
236,,187.5,142.5,0,865,880,187.5,0,0,9.23,14,14.38,Khodair and Bommareddy,2017,United States
237,,187.5,142.5,0,865,880,0,0,187.5,8.84,14,16.82,Khodair and Bommareddy,2017,United States
238,,187.5,142.5,0,865,880,93.75,0,93.75,11.42,14,15.65,Khodair and Bommareddy,2017,United States
239,,375,142.5,865,0,880,0,0,0,5.92,28,54.41,Khodair and Bommareddy,2017,United States
240,,187.5,142.5,865,0,880,187.5,0,0,6.32,28,44.41,Khodair and Bommareddy,2017,United States
241,,187.5,142.5,865,0,880,0,0,187.5,7.96,28,51.47,Khodair and Bommareddy,2017,United States
242,,187.5,142.5,865,0,880,93.75,0,93.75,7.56,28,45.88,Khodair and Bommareddy,2017,United States
243,,375,142.5,649,216,880,0,0,0,6.71,28,40.47,Khodair and Bommareddy,2017,United States
244,,187.5,142.5,649,216,880,187.5,0,0,5.92,28,33.72,Khodair and Bommareddy,2017,United States
245,,187.5,142.5,649,216,880,0,0,187.5,7.17,28,37.21,Khodair and Bommareddy,2017,United States
246,,187.5,142.5,649,216,880,93.75,0,93.75,7.9,28,34.88,Khodair and Bommareddy,2017,United States
247,,375,142.5,432.5,432.5,880,0,0,0,6.77,28,34.26,Khodair and Bommareddy,2017,United States
248,,187.5,142.5,432.5,432.5,880,187.5,0,0,7.96,28,27.53,Khodair and Bommareddy,2017,United States
249,,187.5,142.5,432.5,432.5,880,0,0,187.5,7.16,28,32.22,Khodair and Bommareddy,2017,United States
250,,187.5,142.5,432.5,432.5,880,93.75,0,93.75,8.9,28,30.25,Khodair and Bommareddy,2017,United States
251,,375,142.5,216.25,648.75,880,0,0,0,7.2,28,33.45,Khodair and Bommareddy,2017,United States
252,,187.5,142.5,216.25,648.75,880,187.5,0,0,8.7,28,24.41,Khodair and Bommareddy,2017,United States
253,,187.5,142.5,216.25,648.75,880,0,0,187.5,8.45,28,27.62,Khodair and Bommareddy,2017,United States
254,,187.5,142.5,216.25,648.75,880,93.75,0,93.75,9.21,28,24.5,Khodair and Bommareddy,2017,United States
255,,375,142.5,0,865,880,0,0,0,8.47,28,22.54,Khodair and Bommareddy,2017,United States
256,,187.5,142.5,0,865,880,187.5,0,0,9.23,28,16.55,Khodair and Bommareddy,2017,United States
257,,187.5,142.5,0,865,880,0,0,187.5,8.84,28,19.48,Khodair and Bommareddy,2017,United States
258,,187.5,142.5,0,865,880,93.75,0,93.75,11.42,28,20.72,Khodair and Bommareddy,2017,United States
259,,300,177,0,812,734,200,0,0,8,28,44,Kubissa et al.,2017,Poland
260,,300,192,0,763,689,200,50,0,9,28,55.71,Kubissa et al.,2017,Poland
261,,300,189,0,765,691,250,0,0,9,28,45.36,Kubissa et al.,2017,Poland
262,,300,208,0,744,672,250,0,0,10,28,44.27,Kubissa et al.,2017,Poland
263,,300,177,0,812,734,200,0,0,8,90,59.29,Kubissa et al.,2017,Poland
264,,300,192,0,763,689,200,50,0,9,90,67.55,Kubissa et al.,2017,Poland
265,,300,189,0,765,691,250,0,0,9,90,62.65,Kubissa et al.,2017,Poland
266,,300,208,0,744,672,250,0,0,10,90,56.84,Kubissa et al.,2017,Poland
267,,455,182,1100,0,770,0,0,0,0,7,50.97,Shaikh,2017,Australia
268,,455,182,550,550,770,0,0,0,0,7,41.72,Shaikh,2017,Australia
269,,228,182,550,550,770,0,0,228,0,7,27.31,Shaikh,2017,Australia
270,,228,182,550,550,770,0,23,203,1.82,7,35.27,Shaikh,2017,Australia
271,,228,182,550,550,770,0,46,182,2.58,7,38.07,Shaikh,2017,Australia
272,,228,182,550,550,770,0,68,159,2.8,7,33.33,Shaikh,2017,Australia
273,,455,182,1100,0,770,0,0,0,0,28,58.28,Shaikh,2017,Australia
274,,455,182,550,550,770,0,0,0,0,28,51.61,Shaikh,2017,Australia
275,,228,182,550,550,770,0,0,228,0,28,42.58,Shaikh,2017,Australia
276,,228,182,550,550,770,0,23,203,1.82,28,46.45,Shaikh,2017,Australia
277,,228,182,550,550,770,0,46,182,2.58,28,49.03,Shaikh,2017,Australia
278,,228,182,550,550,770,0,68,159,2.8,28,43.44,Shaikh,2017,Australia
279,,305,207.4,668.25,0,798.6,305,0,0,3.42,7,23.58,Singh et al.,2017,India
280,,305,207.4,334.13,306.6,798.6,305,0,0,3.6,7,23.15,Singh et al.,2017,India
281,,305,207.4,0,613.8,798.6,305,0,0,3.54,7,22.71,Singh et al.,2017,India
282,,434,210.8,668.25,0,798.6,155,31,0,4.59,7,33.58,Singh et al.,2017,India
283,,434,210.8,334.13,306.6,798.6,155,31,0,4.59,7,32.26,Singh et al.,2017,India
284,,434,210.8,0,613.8,798.6,155,31,0,4.59,7,28.3,Singh et al.,2017,India
285,,305,207.4,668.25,0,798.6,305,0,0,3.42,28,31.99,Singh et al.,2017,India
286,,305,207.4,334.13,306.6,798.6,305,0,0,3.6,28,31.55,Singh et al.,2017,India
287,,305,207.4,0,613.8,798.6,305,0,0,3.54,28,31.12,Singh et al.,2017,India
288,,434,210.8,668.25,0,798.6,155,31,0,4.59,28,51.4,Singh et al.,2017,India
289,,434,210.8,334.13,306.6,798.6,155,31,0,4.59,28,50.15,Singh et al.,2017,India
290,,434,210.8,0,613.8,798.6,155,31,0,4.59,28,49.41,Singh et al.,2017,India
291,,280,150,1140,0,830,0,0,0,0,3,22.73,Faella et al.,2016,Italy
292,,250,150,1140,0,830,80,0,0,0,3,21.87,Faella et al.,2016,Italy
293,,250,150,573,500,830,80,0,0,0,3,20.11,Faella et al.,2016,Italy
